iter	RMSE
0	14.59114255
1	14.1919186
2	13.84252975
3	13.47298513
4	13.12281004
5	12.80353764
6	12.49647217
7	12.21479269
8	11.94930558
9	11.69424726
10	11.46459274
11	11.25217647
12	11.04984915
13	10.86245892
14	10.67869018
15	10.52634875
16	10.3830668
17	10.24326656
18	10.10953348
19	9.987119019
20	9.876018232
21	9.765615775
22	9.667953788
23	9.580622394
24	9.503837705
25	9.427071123
26	9.349988896
27	9.283785221
28	9.218447914
29	9.156321147
30	9.101230874
31	9.053116597
32	9.009272558
33	8.967136786
34	8.925545249
35	8.89582061
36	8.859859149
37	8.830848043
38	8.799762806
39	8.772035238
40	8.750049998
41	8.727276746
42	8.706980573
43	8.688143995
44	8.669295112
45	8.653236163
46	8.637774673
47	8.622759522
48	8.609527396
49	8.595096225
50	8.584718406
51	8.573846296
52	8.564684816
53	8.553540518
54	8.544205856
55	8.536449065
56	8.5280907
57	8.520573246
58	8.512670789
59	8.506026486
60	8.499825501
61	8.49432907
62	8.489117892
63	8.48519312
64	8.481220612
65	8.476035107
66	8.470965119
67	8.461575634
68	8.457060423
69	8.452966776
70	8.449480883
71	8.447144606
72	8.441199848
73	8.437486315
74	8.431939411
75	8.428243175
76	8.42556667
77	8.421717554
78	8.419013636
79	8.41707771
80	8.411324943
81	8.409079127
82	8.401879746
83	8.400614708
84	8.398576929
85	8.396832081
86	8.394299785
87	8.390782404
88	8.389279799
89	8.384642496
90	8.379532285
91	8.377185946
92	8.376774708
93	8.374348284
94	8.368451332
95	8.366941877
96	8.364320166
97	8.363806644
98	8.362625056
99	8.361174539
