iter	Passed	Remaining
0	1	167
1	3	156
2	4	151
3	5	140
4	7	137
5	8	136
6	10	134
7	11	133
8	13	131
9	14	130
10	16	129
11	17	127
12	18	126
13	20	125
14	21	123
15	23	122
16	24	120
17	26	118
18	27	116
19	28	115
20	30	114
21	31	112
22	33	111
23	34	110
24	36	108
25	37	106
26	38	105
27	40	104
28	41	102
29	43	100
30	44	99
31	46	98
32	47	96
33	49	95
34	50	94
35	52	92
36	53	91
37	55	89
38	56	88
39	57	86
40	59	85
41	60	82
42	61	81
43	62	79
44	64	78
45	65	77
46	67	75
47	68	74
48	69	72
49	71	71
50	72	69
51	74	68
52	75	66
53	76	65
54	77	63
55	79	62
56	80	60
57	82	59
58	83	58
59	85	56
60	86	55
61	88	53
62	89	52
63	90	51
64	92	49
65	93	48
66	95	46
67	96	45
68	98	44
69	99	42
70	101	41
71	102	40
72	104	38
73	105	37
74	107	35
75	108	34
76	110	32
77	111	31
78	113	30
79	114	28
80	116	27
81	117	25
82	118	24
83	120	22
84	121	21
85	123	20
86	124	18
87	125	17
88	127	15
89	128	14
90	130	12
91	131	11
92	132	10
93	134	8
94	135	7
95	137	5
96	138	4
97	139	2
98	141	1
99	142	0
