iter	Passed	Remaining
0	338	337860
1	339	169580
2	341	113458
3	342	85360
4	344	68543
5	345	57317
6	347	49307
7	349	43294
8	350	38621
9	352	34876
10	353	31808
11	355	29253
12	356	27083
13	358	25236
14	359	23633
15	361	22225
16	362	20985
17	364	19878
18	365	18890
19	367	17999
20	368	17188
21	370	16459
22	371	15789
23	373	15173
24	374	14606
25	376	14087
26	377	13601
27	378	13154
28	380	12735
29	381	12346
30	383	11977
31	384	11634
32	386	11313
33	387	11018
34	389	10736
35	390	10465
36	392	10207
37	393	9963
38	395	9733
39	396	9513
40	397	9305
41	399	9108
42	400	8922
43	402	8741
44	403	8567
45	405	8400
46	406	8241
47	407	8091
48	409	7945
49	410	7806
50	412	7673
51	413	7544
52	415	7421
53	416	7301
54	418	7186
55	419	7074
56	421	6967
57	422	6861
58	423	6760
59	425	6662
60	426	6567
61	428	6475
62	429	6387
63	430	6302
64	432	6219
65	433	6138
66	435	6060
67	436	5983
68	437	5909
69	439	5837
70	440	5767
71	442	5699
72	443	5632
73	445	5568
74	446	5506
75	447	5444
76	449	5385
77	450	5327
78	452	5270
79	453	5215
80	454	5161
81	456	5110
82	457	5051
83	458	5001
84	460	4952
85	461	4905
86	462	4857
87	464	4812
88	465	4768
89	467	4724
90	468	4681
91	470	4639
92	471	4598
93	472	4557
94	474	4517
95	475	4478
96	477	4440
97	478	4402
98	479	4366
99	481	4331
100	482	4296
101	484	4262
102	485	4228
103	486	4195
104	488	4163
105	489	4130
106	491	4099
107	492	4068
108	494	4038
109	495	4008
110	496	3979
111	498	3950
112	499	3921
113	500	3893
114	502	3866
115	503	3839
116	504	3810
117	506	3784
118	507	3759
119	509	3734
120	510	3709
121	511	3683
122	513	3659
123	514	3635
124	515	3611
125	517	3588
126	518	3564
127	519	3541
128	521	3520
129	522	3497
130	524	3476
131	525	3454
132	526	3433
133	528	3413
134	529	3393
135	530	3373
136	532	3353
137	533	3334
138	535	3314
139	536	3296
140	538	3277
141	538	3256
142	540	3238
143	541	3221
144	543	3203
145	544	3186
146	546	3169
147	547	3152
148	549	3135
149	550	3119
150	551	3103
151	553	3087
152	554	3071
153	556	3055
154	557	3039
155	559	3024
156	560	3009
157	561	2994
158	563	2980
159	564	2965
160	565	2948
161	567	2934
162	568	2920
163	570	2908
164	571	2894
165	573	2880
166	574	2867
167	576	2854
168	577	2841
169	579	2829
170	580	2816
171	582	2803
172	583	2790
173	585	2778
174	586	2766
175	588	2754
176	589	2742
177	591	2730
178	592	2718
179	594	2706
180	595	2694
181	596	2682
182	598	2671
183	599	2659
184	601	2648
185	602	2637
186	604	2626
187	605	2616
188	607	2605
189	608	2595
190	610	2585
191	611	2575
192	613	2564
193	614	2553
194	616	2543
